,Diesase_Name,overview,symptoms_elements,symptoms_paragraph
54,Alcohol poisoning,"Alcohol poisoning is a serious — and sometimes deadly — result of drinking large amounts of alcohol in a short period of time. Drinking too much too quickly can affect breathing, heart rate, body temperature and gag reflex. In some cases, this can lead to a coma and death.","Confusion.Vomiting.Seizures.Slow breathing, which is fewer than eight breaths a minute.Breathing that's not regular. This is when there is a gap of more than 10 seconds between breaths.Skin that looks blue, gray or pale.Low body temperature, also known as hypothermia.Trouble staying conscious or awake.",Alcohol poisoning symptoms include:
55,Alcohol use disorder,"Alcohol use disorder is a pattern of alcohol use that involves problems controlling your drinking, being preoccupied with alcohol or continuing to use alcohol even when it causes problems. This disorder also involves having to drink more to get the same effect or having withdrawal symptoms when you rapidly decrease or stop drinking. Alcohol use disorder includes a level of drinking that's sometimes called alcoholism.","Being unable to limit the amount of alcohol you drinkWanting to cut down on how much you drink or making unsuccessful attempts to do soSpending a lot of time drinking, getting alcohol or recovering from alcohol useFeeling a strong craving or urge to drink alcoholFailing to fulfill major obligations at work, school or home due to repeated alcohol useContinuing to drink alcohol even though you know it's causing physical, social, work or relationship problemsGiving up or reducing social and work activities and hobbies to use alcoholUsing alcohol in situations where it's not safe, such as when driving or swimmingDeveloping a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amountExperiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms","Alcohol use disorder can be mild, moderate or severe, based on the number of symptoms you experience. Signs and symptoms may include:"
56,Alcoholic hepatitis,"The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach.","Loss of appetiteNausea and vomitingAbdominal tendernessFever, often low gradeFatigue and weakness",The most common sign of alcoholic hepatitis is yellowing of the skin and whites of the eyes (jaundice).
57,Hay fever,"Hay fever, also called allergic rhinitis, causes cold-like symptoms. These may include a runny nose, itchy eyes, congestion, sneezing and sinus pressure. But unlike a cold, hay fever isn't caused by a virus. Hay fever is caused by an allergic response to a harmless outdoor or indoor substance the body identifies as harmful (allergen).","Runny nose and nasal stuffiness (congestion)Watery, itchy, red eyes (allergic conjunctivitis)SneezingCoughItchy nose, roof of mouth or throatMucus that runs down the back of your throat (postnasal drip)Swollen, bruised-appearing skin under the eyes (allergic shiners)Extreme tiredness (fatigue), often due to poor sleep",Hay fever symptoms can include:
58,Allergies,"Allergies occur when your immune system reacts to a foreign substance — such as pollen, bee venom or pet dander — or a food that doesn't cause a reaction in most people.","SneezingItching of the nose, eyes or roof of the mouthRunny, stuffy noseWatery, red or swollen eyes (conjunctivitis)","Allergy symptoms, which depend on the substance involved, can affect your airways, sinuses and nasal passages, skin, and digestive system. Allergic reactions can range from mild to severe. In some severe cases, allergies can trigger a life-threatening reaction known as anaphylaxis."
59,Food allergy,"Food allergy is an immune system reaction that occurs soon after eating a certain food. Even a tiny amount of the allergy-causing food can trigger signs and symptoms such as digestive problems, hives or swollen airways. In some people, a food allergy can cause severe symptoms or even a life-threatening reaction known as anaphylaxis.","Tingling or itching in the mouthHives, itching or eczemaSwelling of the lips, face, tongue and throat or other parts of the bodyWheezing, nasal congestion or trouble breathingAbdominal pain, diarrhea, nausea or vomitingDizziness, lightheadedness or fainting","For some people, an allergic reaction to a particular food may be uncomfortable but not severe. For other people, an allergic food reaction can be frightening and even life-threatening. Food allergy symptoms usually develop within a few minutes to 2 hours after eating the offending food. Rarely, symptoms may be delayed for several hours."
60,Latex allergy,"Latex allergy is a reaction to certain proteins found in natural rubber latex, a product made from the rubber tree. If you have a latex allergy, your body mistakes latex for a harmful substance.",ItchingSkin rednessHives or rash,"If you're allergic to latex, you're likely to have symptoms after touching latex rubber products, such as gloves or balloons. You also can have symptoms if you breathe in latex particles that are released into the air when someone removes latex gloves."
61,Peanut allergy,"Peanut allergy is one of the most common causes of severe allergy attacks. For some people with peanut allergy, even tiny amounts of peanuts can cause a serious reaction that can even be life-threatening (anaphylaxis).","Skin reactions, such as hives, redness or swellingItching or tingling in or around the mouth and throatDigestive problems, such as diarrhea, stomach cramps, nausea or vomitingTightening of the throatShortness of breath or wheezingRunny nose",An allergic response to peanuts usually occurs within minutes after exposure. Peanut allergy signs and symptoms can include:
62,Shellfish allergy,"Shellfish allergy is an atypical response by the body's immune system to proteins in certain marine animals. Marine animals in the shellfish category include crustaceans and mollusks. Examples are shrimp, crabs, lobster, squid, oysters, scallops and snails.","HivesItchy, irritated skinNasal stuffiness (congestion)Swelling of the lips, face, tongue and throat, or other parts of the bodyWheezing or trouble breathingCoughing and choking or a tight feeling in the throatBelly (abdominal) pain, diarrhea, nausea or vomitingDizziness, lightheadedness or fainting",Shellfish allergy symptoms generally start within minutes to an hour after eating or having contact with shellfish. They may include:
63,Hair loss,"Hair loss (alopecia) can affect just your scalp or your entire body, and it can be temporary or permanent. It can be the result of heredity, hormonal changes, medical conditions or a normal part of aging. Anyone can lose hair on their head, but it's more common in men.","Gradual thinning on top of head.This is the most common type of hair loss, affecting people as they age. In men, hair often begins to recede at the hairline on the forehead. Women typically have a broadening of the part in their hair. An increasingly common hair loss pattern in older women is a receding hairline (frontal fibrosing alopecia).Circular or patchy bald spots.Some people lose hair in circular or patchy bald spots on the scalp, beard or eyebrows. Your skin may become itchy or painful before the hair falls out.Sudden loosening of hair.A physical or emotional shock can cause hair to loosen. Handfuls of hair may come out when combing or washing your hair or even after gentle tugging. This type of hair loss usually causes overall hair thinning but is temporary.Full-body hair loss.Some conditions and medical treatments, such as chemotherapy for cancer, can result in the loss of hair all over your body. The hair usually grows back.Patches of scaling that spread over the scalp.This is a sign of ringworm. It may be accompanied by broken hair, redness, swelling and, at times, oozing.",Male-pattern baldness typically appears first at the hairline or top of the head. It can progress to partial or complete baldness.
